Country,Country Code,Language,Year,Title,Filename,URL,AI Watch URL
Bulgaria,BG,en,2020,Concept for the Development of Artificial Intelligence in Bulgaria until 2030,Bulgaria conceptforthedevelopmentofaiinbulgariauntil2030.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/bulgaria-ai-strategy-report_en
Czech Republic,CZ,en,2019,National Artificial Intelligence Strategy of the Czech Republic,Czech Rep National AI Strategy.pdf,https://www.mpo.cz/assets/en/guidepost/for-the-media/press-releases/2019/5/NAIS_eng_web.pdf,https://knowledge4policy.ec.europa.eu/ai-watch/czech-republic-ai-strategy-report_en
Denmark,DK,en,2019,National Strategy for Artificial Intelligence,Denmark National AI.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/denmark-ai-strategy-report_en
Estonia,EE,en,2019,Estonia's National Artificial Intelligence Strategy,Estonia AI Strategy.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/estonia-ai-strategy-report_en
Finland,FI,en,2017,Finland's Age of Artificial Intelligence,Finland National Strategy.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/finland-ai-strategy-report_en
France,FR,en,2018,For A Meaningful Artificial Intelligence,France MissionVillani_Report_ENG-VF.pdf,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,https://knowledge4policy.ec.europa.eu/ai-watch/france-ai-strategy-report_en
Germany,DE,en,2018,Artificial Intelligence Strategy,Germany Nationale_KI-Strategie_engl.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/germany-ai-strategy-report_en
Hungary,HU,en,2020,Hungary's Artificial Intelligence Strategy,Hungary AI.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/hungary-ai-strategy-report_en
Italy,IT,it,2020,Strategia Nazionale per l'Intelligenza Artificiale,Italy in Italian Strategia_Nazionale_AI_2020.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/italy-ai-strategy-report_en
Latvia,LV,lv,2020,Informatīvais ziņojums “Par mākslīgā intelekta risinājumu attīstību”,Latvia AI Strategy in Latvian.docx,,https://knowledge4policy.ec.europa.eu/ai-watch/latvia-ai-strategy-report_en
Lithuania,LT,en,2019,Lithuanian artificial intelligence strategy: a vision for the future,Lithuania AI Strategy.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/lithuania-ai-strategy-report_en
Luxembourg,LU,en,2019,Artificial Intelligence: a strategic vision for Luxembourg,Luxembourg Artificial-Intelligence-a-strategic-vision-for-Luxembourg.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/luxembourg-ai-strategy-report_en
Malta,MT,en,2019,Malta: The Ultimate AI Launchpad,Malta_The_Ultimate_AI_Launchpad_vFinal.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/malta-ai-strategy-report_en
Netherlands,NL,en,2019,Strategic Action Plan for Artificial Intelligence,Netherlands Strategic+Action+Plan+for+Artificial+Intelligence.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/netherlands-ai-strategy-report_en
Norway,NO,en,2020,National Strategy for Artificial Intelligence,Norway National AI Strategy.pdf,https://www.regjeringen.no/en/dokumenter/nasjonal-strategi-for-kunstig-intelligens/id2685594/,https://knowledge4policy.ec.europa.eu/ai-watch/norway-ai-strategy-report_en
Poland,PL,pl,2020,Policy for the Development of Artificial Intelligence in Poland from 2020,Poland AI Strategy in Polish.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/poland-ai-strategy-report_en
Portugal,PT,en,2019,AI Portugal 2030,Portugal AI Strategy.pdf,https://www.incode2030.gov.pt/sites/default/files/julho_incode_brochura.pdf,https://knowledge4policy.ec.europa.eu/ai-watch/portugal-ai-strategy-report_en
Slovakia,SK,en,2019,Action plan for the digital transformation of Slovakia for 2019-2022,Slovakia AI.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/slovakia-ai-strategy-report_en
Slovenia,SI,sl,2020,Nacionalni programme spodbujanja razvoja in uporabe umetne intelligence v Republiki Sloveniji do leta 2025,Slovenia AI in Slovenian.docx,https://www.gov.si/assets/ministrstva/MJU/DID/NpUI-SI-2025.docx,https://knowledge4policy.ec.europa.eu/ai-watch/slovenia-ai-strategy-report_en
Sweden,SE,en,2019,National approach to artificial intelligence,Sweden AI.pdf,,https://knowledge4policy.ec.europa.eu/ai-watch/sweden-ai-strategy-report_en
Switzerland,CH,de,2019,Challenges of Artificial Intelligence,Switzerland AI in German.pdf,https://www.kmu.admin.ch/dam/kmu/de/dokumente/FaktenundTrends/herausforderungen-der-kuenstlichen-intelligenz.pdf.download.pdf/bericht_idag_ki_d.pdf,https://knowledge4policy.ec.europa.eu/ai-watch/switzerland-ai-strategy-report_en
United Kingdom,GB,en,2021,National AI Strategy,UK National_AI_Strategy_-_PDF_version.pdf,https://www.gov.uk/government/publications/national-ai-strategy,https://knowledge4policy.ec.europa.eu/ai-watch/united-kingdom-ai-strategy-report_en